text,department
I am experiencing nausea vomiting and diarrhea abdominal pain,GENERAL MEDICINE
"Patient with chief complaint of car vs pole, assessed for liver injury nos",GASTROENTEROLOGY
"I have been having headaches I also experience i feel lightheaded On top of that, i had a seizure episode Also, i feel numbness in my body I also experience i experience tingling in my feet Additionally, i have muscle weakness Additionally, i experience involuntary shaking Additionally, my memory is getting worse Furthermore, i feel confused I also experience i feel unsteady On top of that, i struggle to walk On top of that, i cannot speak clearly I also experience i have facial paralysis Additionally, i fainted and lost consciousness Plus, i have nerve pain Plus, my muscles feel stiff Furthermore, i feel uncoordinated Plus, i have trouble falling asleep",NEUROLOGY
"I have polycystic ovary syndrome Additionally, i have inconsistent menstrual cycles On top of that, i am experiencing issues during pregnancy I also experience i experience menstrual difficulties Furthermore, my period pain is mild Also, i have heavy periods Also, my periods are barely there I also experience i have a delayed period Also, i missed my period Additionally, i feel itchy down there Additionally, my vaginal area lacks moisture I also experience i have persistent acne from hormonal imbalance I also experience i have lower abdominal pain",GYNECOLOGY & OBSTETRICS
"I was diagnosed with PCOS Also, i have inconsistent menstrual cycles I also experience i have problems with my pregnancy Also, i have problems during menstruation I also experience i feel slight cramps during my period Also, i have heavy periods I also experience i have very light periods Additionally, my period is late Furthermore, my period did not come this month Plus, i feel itchy down there Furthermore, i have vaginal dryness Also, i have persistent acne from hormonal imbalance On top of that, i have lower abdominal pain",GYNECOLOGY & OBSTETRICS
"Patient with chief complaint of diabetic ketoacidosis transfer, assessed for type 1 diabetes mellitus with ketoacidosis without coma",NEUROLOGY
"I have cysts on my ovaries Also, my periods are not regular Plus, i am experiencing issues during pregnancy Furthermore, i have issues with my periods Plus, i have mild period pain I also experience my periods are very heavy Additionally, my menstrual flow is very light Additionally, my period is late On top of that, i have amenorrhea Plus, i have persistent vaginal itching Additionally, i experience vaginal dryness I also experience i get acne due to hormones Plus, i feel pain in my lower abdomen",GYNECOLOGY & OBSTETRICS
"Severe anxiety attacks, sudden panic, racing heart, and uncontrollable worrying.",PSYCHIATRY
"my infant is feverish Also, my infant is coughing a lot On top of that, my child has cold symptoms Additionally, my baby has a sore throat Also, my child is struggling to breathe Furthermore, my baby is vomiting Additionally, my baby has stomach pain Furthermore, my infant has a red rash Also, my baby had a seizure episode I also experience my baby is not feeding well Plus, my infant cries uncontrollably On top of that, my baby seems weak I also experience my baby refuses to eat On top of that, my child is not gaining weight properly Additionally, my child is not growing properly I also experience my child is not meeting milestones Also, my baby has ear pain I also experience my baby's skin is turning yellow Plus, my baby has dry mouth and no tears Furthermore, my baby is wheezing",PEDIATRICS
"I have migraine-like headaches I also experience i feel dizzy Furthermore, i experienced a seizure Also, i feel numbness in my body Plus, i have pins and needles feeling On top of that, my muscles feel like they are failing Furthermore, i experience involuntary shaking Furthermore, i keep forgetting things I also experience i feel muddled and confused Furthermore, i have poor balance and coordination On top of that, i have trouble walking Furthermore, i cannot speak clearly Also, i have facial weakness Plus, i had a loss of consciousness Furthermore, i have neuropathic pain Additionally, i have muscle stiffness Furthermore, i have poor coordination Furthermore, i have trouble falling asleep",NEUROLOGY
